Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
81,Thomas Bryant,C,24,WAS,27,9,16.3,2.9,5.5,.520,0.4,1.6,.286,2.4,3.9,.613,.561,1.3,1.5,.875,1.0,3.0,4.0,0.9,0.2,0.8,0.7,1.6,7.4
94,Vernon Carey Jr.,C,20,WAS,3,0,9.0,1.3,2.3,.571,0.0,0.0,0,1.3,2.3,.571,.571,1.3,3.3,.400,1.7,0.7,2.3,0.0,0.3,0.3,0.7,1.0,4.0
118,DeMarcus Cousins,C,31,DEN,31,2,13.9,3.0,6.6,.456,0.8,2.4,.324,2.3,4.3,.530,.515,2.1,2.8,.736,1.6,3.9,5.5,1.7,0.6,0.4,2.2,3.0,8.9
155,Jaime Echenique,C,24,WAS,1,0,3.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Bruno Fernando,C,23,BOS,20,0,2.9,0.4,0.7,.500,0.1,0.1,1.000,0.3,0.7,.462,.536,0.2,0.3,.800,0.4,0.4,0.8,0.2,0.0,0.2,0.3,0.3,1.0
178,Enes Freedom,C,29,BOS,35,1,11.7,1.5,2.8,.526,0.1,0.1,.400,1.4,2.6,.533,.536,0.7,0.8,.857,1.7,2.8,4.6,0.2,0.1,0.4,0.6,1.2,3.7
181,Daniel Gafford,C,23,WAS,72,53,20.1,4.0,5.7,.693,0.0,0.0,.000,4.0,5.7,.695,.693,1.5,2.1,.699,2.2,3.5,5.7,0.9,0.4,1.4,0.9,2.4,9.4
221,Montrezl Harrell,C,28,WAS,46,3,24.3,5.4,8.3,.645,0.1,0.3,.267,5.3,8.0,.660,.650,3.2,4.5,.727,2.1,4.6,6.7,2.1,0.4,0.7,1.1,1.9,14.1
250,Al Horford,C,35,BOS,69,69,29.1,3.9,8.2,.467,1.3,3.8,.336,2.6,4.4,.582,.546,1.2,1.4,.842,1.6,6.1,7.7,3.4,0.7,1.3,0.9,1.9,10.2
290,Nikola JokiÄ‡,C,26,DEN,74,74,33.5,10.3,17.7,.583,1.3,3.9,.337,9.0,13.8,.652,.620,5.1,6.3,.810,2.8,11.0,13.8,7.9,1.5,0.9,3.8,2.6,27.1
315,Luke Kornet,C,26,BOS,12,0,7.1,1.0,1.8,.571,0.0,0.3,.000,1.0,1.4,.706,.571,0.2,0.3,.667,0.8,1.3,2.1,0.7,0.3,0.2,0.0,0.6,2.2
386,Greg Monroe,C,31,WAS,2,0,9.0,2.0,4.0,.500,0.0,0.0,0,2.0,4.0,.500,.500,0.0,0.0,0,3.5,1.5,5.0,0.5,0.5,0.5,1.0,1.0,4.0
532,Daniel Theis,C,29,BOS,21,6,18.7,3.2,5.3,.598,0.5,1.3,.357,2.7,4.0,.679,.643,1.0,1.5,.688,1.3,3.4,4.7,1.0,0.4,0.7,0.7,2.3,7.9
589,Robert Williams,C,24,BOS,61,61,29.6,4.4,6.0,.736,0.0,0.0,.000,4.4,6.0,.738,.736,1.1,1.5,.722,3.9,5.7,9.6,2.0,0.9,2.2,1.0,2.2,10.0
